Postcode,Suburb
4127,Slacks Creek
4127,Daisy Hill
4127,Springwood
4127,Priestdale
4128,Shailer Park
4128,Tanah Merah
4129,Loganholme
4130,Cornubia
4130,Carbrook
4130,Loganholme
4207,Eagleby
4207,Beenleigh
4207,Logan Village
4207,Holmview
4207,Buccan
4207,Bahrs Scrub
4207,Edens Landing
4207,Steiglitz
4207,Mount Warren Park
4207,Bannockburn
4207,Belivah
4207,Cedar Creek
4207,Alberton
4207,Windaroo
4207,Yarrabilba
4207,Luscombe
4207,Wolffdene
4207,Yatala
4300,Gailes
4300,Springfield Lakes
4300,Ipswich
4300,Goodna
4300,Springfield
4300,Brookwater
4300,Bellbird Park
4300,Camira
4300,Augustine Heights
4300,Spring Mountain
4301,Redbank
4301,Redbank Plains
4301,Collingwood Park
4303,Riverview
4303,Dinmore
4304,Bundamba
4304,North Booval
4304,Blackstone
4304,Silkstone
4304,Booval
4304,Ebbw Vale
4305,Moores Pocket
4305,Newtown
4305,North Ipswich
4305,Brassall
4305,Ipswich
4305,Basin Pocket
4305,Eastern Heights
4305,Woodend
4305,Churchill
4305,Raceview
4305,Flinders View
4305,Leichhardt
4305,Sadliers Crossing
4305,East Ipswich
4305,Yamanto
4305,One Mile
4305,Tivoli
4305,West Ipswich
4305,Coalfalls
4306,Karalee
4306,Glamorgan Vale
4306,Karana Downs
4306,Fernvale
4306,Deebing Heights
4306,Chuwar
4306,Ripley
4306,Willowbank
4306,Fairney View
4306,Haigslea
4306,Kholo
4306,Mount Crosby
4306,Vernor
4306,Barellan Point
4306,Wivenhoe Pocket
4306,Dundas
4306,Peak Crossing
4306,Wanora
4306,Walloon
4306,Ironbark
4306,Karrabin
4306,Pine Mountain
4306,Purga
4551,Caloundra West
4551,Golden Beach
4551,Meridan Plains
4551,Moffat Beach
4551,Aroona
4551,Nirimba
4551,Little Mountain
4551,Pelican Waters
4551,Currimundi
4551,Dicky Beach
4551,Caloundra
4551,Banya
4551,Baringa
4551,Battery Hill
4551,Kings Beach
4551,Shelly Beach
4560,Nambour
4560,Mapleton
4560,Kureelpa
4560,Coes Creek
4560,Burnside
4560,Flaxton
4560,Montville
4560,Perwillowen
4560,Bli Bli
4560,Rosemount
4560,Dulong
4560,Kiamba
4560,Highworth
4560,Kulangoor
4560,Towen Mountain
4560,Image Flat
4560,Cooloolabin
4570,Gympie
4570,Jones Hill
4570,Veteran
4570,Victory Heights
4570,Monkland
4570,Curra
4570,Araluen
4570,Pie Creek
4570,Widgee
4570,North Deep Creek
4570,Banks Pocket
4570,Neerdie
4570,Brooloo
4570,Southside
4570,Kandanga
4570,Wallu
4570,Chatsworth
4570,Mothar Mountain
4570,The Dawn
4570,Amamoor
4570,East Deep Creek
4570,Gunalda
4570,Imbil
4570,Kybong
4570,Lower Wonga
4570,Tamaree
4570,Canina
4570,Glastonbury
4570,Sexton
4570,Traveston
4570,Wilsons Pocket
4570,Glanmire
4570,Tandur
4570,Cedar Pocket
4570,Dagun
4570,Kanigan
4570,Lagoon Pocket
4570,Melawondi
4570,Mooloo
4570,Paterson
4570,Wolvi
4570,Calico Creek
4570,Glenwood
4570,The Palms
4570,Bells Bridge
4570,Goomboorian
4570,Woondum
4570,Bollier
4570,Long Flat
4570,Tuchekoi
4650,Maryborough
4650,Tinana
4650,Granville
4650,Maryborough West
4650,Oakhurst
4650,Bidwill
4650,Tinana South
4650,Magnolia
4650,Teddington
4650,Yengarie
4650,Mungar
4650,Bauple
4650,Owanyilla
4650,Aldershot
4650,Tiaro
4650,Antigua
4650,Walkers Point
4650,Ferney
4650,Thinoomba
4650,Dunmora
4650,Boonooroo
4650,Gootchie
4650,Gundiah
4650,Saint Helens
4650,Poona
4650,Tuan
4650,Beaver Rock
4650,Dundathu
4650,Tinnanbar
4650,Grahams Creek
4650,Maaroom
4650,Yerra
4650,Island Plantation
4650,Pilerwa
4650,Prawle
4650,St Helens
4701,Frenchville
4701,Berserker
4701,Norman Gardens
4701,Koongal
4701,Park Avenue
4701,Kawana
4701,Nerimbera
4701,Lakes Creek
4701,Nankin
4701,Ironpot
4701,Limestone Creek
4701,Mount Archer
4701,Rockyview
