Postcode,Suburb
2000,Sydney
2010,Surry Hills
2011,Woolloomooloo
2016,Redfern
2030,Dover Heights
2032,Kingsford
2033,Kensington
2035,Maroubra
2037,
2060,North Sydney
2065,Greenwich
2073,West Pymble
2076,Wahroonga
2077,Hornsby
2087,Forestville
2097,Collaroy
2100,Allambie Heights
2103,Auckland
2121,Boston
2125,Boston
2131,Ashfield
2135,Strathfield
2142,Granville
2143,Birrong
2144,Auburn
2148,Prospect
2150,Parramatta
2151,North Rocks
2153,Baulkham Hills
2156,Kenthurst
2157,Glenorie
2162,Chester Hill
2170,
2171,West Hoxton
2190,Greenacre
2193,Canterbury
2204,Marrickville
2206,Earlwood
2208,Kingsgrove
2209,Beverly Hills
2210,Lugarno
2211,Padstow
2218,Carlton
2223,Mortdale
2224,Sylvania Waters
2229,
2230,Cronulla
2250,
2257,
2258,
2259,
2260,Forresters Beach
2261,
2262,
2263,
2264,
2265,Cooranbong
2267,Wangi Wangi
2278,
2280,
2281,
2282,
2283,
2284,
2285,
2286,
2287,
2289,
2290,
2291,
2292,
2293,
2294,Carrington
2295,
2296,Islington
2297,Tighes Hill
2298,
2299,
2300,
2302,Newcastle West
2303,
2304,
2305,
2306,
2307,Shortland
2315,
2317,Soldiers Point
2318,
2319,
2320,
2321,
2322,
2323,
2324,
2325,
2326,
2327,
2328,Denman
2330,
2333,Muswellbrook
2334,Greta
2335,
2336,Aberdeen
2337,
2340,
2345,Attunga
2350,
2352,Kootingal
2354,
2358,
2359,Bundarra
2360,
2365,
2369,Tingha
2370,
2371,
2372,
2380,Gunnedah
2388,Cuttabri
2400,Moree
2404,Bingara
2415,Stroud Road
2423,Nerong
2425,
2426,
2427,
2428,Forster
2429,
2430,
2439,
2440,
2441,
2443,
2444,
2445,
2446,
2447,
2448,Nambucca Heads
2450,
2452,
2453,
2454,
2455,Urunga
2456,
2460,
2462,
2463,
2469,
2470,
2471,East Coraki
2474,
2476,
2477,
2478,
2479,
2480,
2481,
2482,
2483,
2484,
2485,
2486,
2487,
2488,Bogangar
2489,
2490,Tumbulgum
2500,West Wollongong
2505,Port Kembla
2526,Farmborough Heights
2533,Curramore
2535,Jaspers Brush
2540,
2556,Bringelly
2560,Bradbury
2565,
2566,Saint Andrews
2567,Narellan
2570,
2572,Thirlmere
2574,Bargo
2575,Bullio
2577,Berrima
2580,
2587,
2590,Cootamundra
2594,Young
2600,Yarralumla
2611,Denman Prospect
2614,Aranda
2615,
2620,
2640,North Albury
2645,Urana
2647,Mulwala
2666,Temora
2722,Gundagai
2727,Coolac
2731,Moama
2745,Mulgoa
2747,Cambridge Park
2749,Cranebrook
2750,Penrith
2753,Hobartville
2756,Freemans Reach
2758,Bilpin
2761,Dean Park
2763,Quakers Hill
2768,Stanhope Gardens
2770,Shalvey
2777,Sun Valley
2790,South Bowenfels
2794,Cowra
2795,Kelso
2799,Neville
2800,
2803,Crowther
2805,Gooloogong
2806,Eugowra
2810,
2818,Geurie
2827,Gilgandra
2830,
2840,Bourke
2849,Rylstone
2869,Peak Hill
2870,Parkes
2871,Forbes
2879,Sunset Strip
2886,Warwick
2891,Westerly
2912,Gungahlin
2913,
2914,Harrison
3000,Melbourne
3028,Seabrook
3037,Taylors Hill
3046,Glenroy
3058,Coburg
3060,Nashua
3073,Reservoir
3076,Epping
3101,Kew
3103,Deepdene
3132,Mitcham
3145,Malvern East
3150,Glen Waverley
3160,Belgrave
3183,Balaclava
3199,Frankston
3385,Dadswells Bridge
3450,Castlemaine
3461,Porcupine Ridge
3464,Carisbrook
3498,Irymple
3501,Koorlong
3516,Leichardt
3550,
3551,
3555,Kangaroo Flat
3556,
3636,Invergordon
3691,Baranduda
3728,Wilby
3775,Dixons Creek
3818,Drouin
3892,Mallacoota
3912,Somerville
3928,Main Ridge
3930,Mount Eliza
3934,Mount Martha
3937,Red Hill
4000,
4005,
4007,Ascot
4008,Pinkenba
4010,Albion
4011,
4012,
4014,Banyo
4017,
4018,Taigum
4019,
4020,
4021,
4022,Rothwell
4030,
4031,Kedron
4032,Chermside West
4034,
4035,
4037,Eatons Hill
4051,
4053,
4054,
4055,
4059,Herston
4060,Ashgrove
4061,The Gap
4064,
4065,Bardon
4066,
4067,Saint Lucia
4068,
4069,
4070,
4073,
4074,
4075,
4076,
4077,
4078,Forest Lake
4101,
4103,Annerley
4104,Yeronga
4105,
4106,Rocklea
4107,Salisbury
4108,
4109,
4110,
4112,Kuraby
4113,
4114,
4115,
4116,
4117,Berrinba
4118,
4119,Underwood
4120,
4121,
4122,
