Option ID,Option name,,,,,,,,,
1,Customer,Person,Label,Single option,label,,,,,
2,Hot lead,Person,Label,Single option,label,,,,,
3,Warm lead,Person,Label,Single option,label,,,,,
4,Cold lead,Person,Label,Single option,label,,,,,
5,Customer,Organisation,Label,Single option,label,,,,,
6,Hot lead,Organisation,Label,Single option,label,,,,,
7,Warm lead,Organisation,Label,Single option,label,,,,,
8,Cold lead,Organisation,Label,Single option,label,,,,,
12,Yeppoon Business,Person,Label,Single option,label,,,,,
15,Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
18,No Damage,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
19,Damage - Self Claim (TAG LEAD GEN),Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
23,Damage - No claim,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
28,Start Works 2-4 Months,Deal,Ideal Outcome,Multiple options,16167c533077f53417cd215ae8482628a69564f5,,,,,
29,Start Works 4-8 Months,Deal,Ideal Outcome,Multiple options,16167c533077f53417cd215ae8482628a69564f5,,,,,
30,Cash Settle,Deal,Ideal Outcome,Multiple options,16167c533077f53417cd215ae8482628a69564f5,,,,,
32,Email Marketing,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
33,Mail Out Letters (Generic),Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
37,Website,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
38,Lost to Panel Builder (Low Margin),Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
39,ReBuild Fb Ads,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
40,Unresponsive,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
41,Uninsured,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
