Postcode,Suburb
4127,
4128,
4129,Loganholme
4130,
4131,
4132,
4133,
4153,
4154,
4156,
4157,
4158,Thorneside
4159,Birkdale
4161,Alexandra Hills
4205,Bethania
4207,
4208,
4209,
4210,
4211,
4212,
4213,
4215,
4216,
4270,Tamborine
4272,Tamborine Mountain
4280,
4285,
4300,
4301,
4303,
4304,
4305,
4306,
4311,
4341,
4343,
4347,
4350,
4352,
4362,
4370,
4375,Cottonvale
4381,Glen Aplin
4385,
4401,Oakey
4406,
4455,
4502,Petrie
4505,
4506,
4507,
4510,
4518,Glass House Mountains
4519,Beerwah
4520,
4550,
4551,
4552,
4553,
4554,
4555,
4556,
4557,
4558,
4559,
4560,
4561,
4562,
4563,
4564,
4565,
4567,
4568,
4570,
4573,
4575,
4580,
4581,Rainbow Beach
4650,
4655,
4659,
4680,
4700,
4701,
