Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
Gwandalan,R09 - NR,2259,NSW,GO,1 in 4,High (50+),2,91,14,15,41,163,25.20%,17.80%,8.60%,9.20%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Summerland Point,R09 - NR,2259,NSW,GO,1 in 4,Medium (20-49),2,8,1,4,5,20,25.00%,25.00%,5.00%,20.00%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Lake Munmorah,R09 - NR,2259,NSW,GO,1 in 3,Very Low (<10),0,3,0,3,3,9,33.30%,33.30%,0.00%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Woongarrah,R09 - NR,2259,NSW,GO,1 in 2,Very Low (<10),0,4,0,1,4,9,44.40%,11.10%,0.00%,11.10%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Chain Valley Bay,R09 - NR,2259,NSW,KEEP AWAY,1 in 8,Very Low (<10),1,1,2,3,1,8,12.50%,62.50%,25.00%,37.50%,17/10/2025,5-6cm,,06/07/2025,2-3cm,,26/05/2023,3-4cm,
Buff Point,R09 - NR,2262,NSW,GO,1 in 3,Low (10-19),0,4,0,5,5,14,35.70%,35.70%,0.00%,35.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Budgewoi,R09 - NR,2262,NSW,GO,1 in 4,Very Low (<10),1,4,0,1,2,8,25.00%,12.50%,0.00%,12.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
San Remo,R09 - NR,2262,NSW,GO,1 in 4,Very Low (<10),0,4,0,1,2,7,28.60%,14.30%,0.00%,14.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Noraville,R09 - NR,2263,NSW,GO,1 in 3,Medium (20-49),0,9,2,3,9,23,39.10%,21.70%,8.70%,13.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Norah Head,R09 - NR,2263,NSW,GO,1 in 4,Very Low (<10),0,3,0,3,2,8,25.00%,37.50%,0.00%,37.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Toukley,R09 - NR,2263,NSW,ON THE FENCE,1 in 8,Low (10-19),0,11,1,2,2,16,12.50%,18.80%,6.20%,12.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Gorokan,R09 - NR,2263,NSW,ON THE FENCE,1 in 6,Low (10-19),0,6,1,2,2,11,18.20%,27.30%,9.10%,18.20%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Cooranbong,R09 - NR,2265,NSW,GO,1 in 3,Low (10-19),1,7,0,2,6,16,37.50%,12.50%,0.00%,12.50%,24/11/25,4-5cm,,31/10/25,5-6cm,,,,
Belmont North,R09 - NR,2280,NSW,GO,1 in 4,High (50+),2,83,6,9,36,136,26.50%,11.00%,4.40%,6.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Belmont,R09 - NR,2280,NSW,WORTH IT,1 in 5,High (50+),0,58,10,16,22,106,20.80%,24.50%,9.40%,15.10%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Marks Point,R09 - NR,2280,NSW,WORTH IT,1 in 5,Medium (20-49),2,17,7,6,9,41,22.00%,31.70%,17.10%,14.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Jewells,R09 - NR,2280,NSW,ON THE FENCE,1 in 7,Medium (20-49),0,24,1,0,4,29,13.80%,3.40%,3.40%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Belmont South,R09 - NR,2280,NSW,ON THE FENCE,1 in 7,Medium (20-49),0,15,1,3,3,22,13.60%,18.20%,4.50%,13.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
